year,avg_temp
1849,15.71
1850,15.28
1851,15.53
1852,15.61
1853,16.27
1854,15.74
1855,15.94
1856,15.52
1857,16.19
1858,15.67
1859,15.29
1860,15.41
1861,16.51
1862,16.05
1863,15.88
1864,16.62
1865,15.89
1866,16.33
1867,16.51
1868,16.09
1869,16.05
1870,15.64
1871,15.89
1872,15.66
1873,15.70
1874,15.33
1875,16.19
1876,15.70
1877,16.24
1878,15.44
1879,15.55
1880,14.36
1881,15.65
1882,14.85
1883,15.52
1884,15.28
1885,16.44
1886,15.74
1887,15.62
1888,15.91
1889,16.22
1890,15.80
1891,15.63
1892,15.33
1893,14.95
1894,14.83
1895,15.36
1896,16.10
1897,15.32
1898,15.65
1899,15.59
1900,16.08
1901,15.72
1902,15.08
1903,15.49
1904,16.24
1905,15.52
1906,15.74
1907,15.46
1908,15.17
1909,15.01
1910,15.94
1911,14.82
1912,14.84
1913,15.20
1914,15.65
1915,15.43
1916,14.60
1917,15.59
1918,15.65
1919,15.34
1920,15.06
1921,15.76
1922,15.31
1923,15.39
1924,15.69
1925,15.72
1926,16.60
1927,15.41
1928,15.98
1929,16.10
1930,15.99
1931,16.60
1932,15.40
1933,15.40
1934,17.03
1935,15.50
1936,16.60
1937,15.68
1938,15.89
1939,16.30
1940,16.53
1941,15.62
1942,15.77
1943,16.12
1944,15.03
1945,15.70
1946,15.65
1947,15.98
1948,15.09
1949,15.36
1950,16.20
1951,15.76
1952,15.33
1953,15.68
1954,16.05
1955,15.34
1956,15.70
1957,15.80
1958,16.70
1959,17.05
1960,16.31
1961,16.21
1962,15.62
1963,15.73
1964,15.28
1965,15.34
1966,15.99
1967,15.92
1968,15.89
1969,15.79
1970,16.00
1971,15.26
1972,15.96
1973,15.51
1974,15.85
1975,15.12
1976,16.18
1977,16.26
1978,16.01
1979,15.88
1980,16.23
1981,16.89
1982,15.44
1983,16.20
1984,16.76
1985,15.96
1986,16.50
1987,16.09
1988,16.44
1989,16.36
1990,16.37
1991,16.00
1992,16.79
1993,16.36
1994,16.29
1995,16.64
1996,17.08
1997,16.93
1998,15.37
1999,16.12
2000,16.64
2001,16.47
2002,16.43
2003,16.94
2004,16.55
2005,16.43
2006,16.62
2007,16.70
2008,17.01
2009,16.68
2010,15.89
2011,15.87
2012,17.09
2013,18.12
